"distance","elevation"
"690.1790088657244","-2100.9061132397105"
"700.1816579019923","-2101.85326387881"
"710.1843084958058","-2102.7067114180954"
"720.1869606493715","-2103.3762738095397"
"730.1896143616564","-2104.0410967398475"
"740.1922696325388","-2105.69023228291"
"750.1949264609291","-2106.2253513074397"
"760.1975848468536","-2106.8899700599914"
"770.2002447922382","-2107.5465710736066"
"780.2029062941284","-2108.242144140457"
"790.205569353365","-2108.219721747569"
"800.2082339704954","-2108.7812620708864"
"810.210900144874","-2108.104648925532"
"820.2135678755312","-2108.6094307313683"
"830.2162371645217","-2108.5009130406174"
"840.2189080077242","-2108.343054073773"
"850.2215804098527","-2109.064785898444"
"860.2242543663793","-2109.577512715058"
"870.2269298801381","-2109.6759403864003"
"880.2296069490676","-2109.7760233925396"
"890.2322855740143","-2109.7616514255024"
"900.234965754939","-2109.9908357109653"
"910.2376474904457","-2109.664944762531"
"920.2403307829651","-2109.866116405462"
"930.2430156292523","-2110.4525457538657"
"940.2457020307348","-2110.244985587644"
"950.2483899862816","-2110.636840189472"
"960.2510794980329","-2110.965479378653"
"970.2537705623","-2111.163274286715"
"980.2564631814871","-2110.144662356997"
"990.2591573546184","-2110.2032061725317"
"1000.2618530819952","-2109.8670094283298"
"1010.2645503630035","-2110.0759062000407"
"1020.267249197585","-2109.7653014923026"
"1030.269949585366","-2109.646470386653"
"1040.2726515263382","-2110.655663371099"
"1050.275355019207","-2111.4065569177724"
"1060.2780600667083","-2111.848431447324"
"1070.2807666661029","-2111.8034647978097"
"1080.283474817862","-2111.219230834185"
"1090.2861845220657","-2110.6478605239085"
"1100.288895778312","-2110.4050913283827"
"1110.2916085868203","-2110.3160736198465"
"1120.2943229466646","-2109.6318671078366"
"1130.2970388585748","-2109.5194400813166"
"1140.299756321669","-2108.4200683245526"
"1150.3024753355928","-2107.3590226176702"
"1160.305195901082","-2105.847855052368"
"1170.307918017385","-2103.904742234856"
"1180.3106416845244","-2102.3985143921227"
"1190.3133669022916","-2101.3212792507934"
"1200.3160936701788","-2100.278415072501"
"1210.3188219884723","-2098.814319984692"
"1220.3215518567476","-2097.8812682240105"
"1230.3242832752303","-2097.681673912867"
"1240.3270162433632","-2097.374299952773"
"1250.3297507611098","-2096.718920382209"
"1260.3324868273462","-2096.441945936978"
"1270.3352244439436","-2095.5506614098294"
"1280.3379636078823","-2094.7940904657944"
"1290.3407043227403","-2094.4611960834595"
"1300.3434465853304","-2094.290045847051"
"1310.3461903959692","-2093.9438031872187"
"1320.3489357562137","-2093.637879310591"
"1330.351682663939","-2093.5462546695007"
"1340.354431119036","-2093.372510529667"
"1350.3571811226775","-2093.7311286227714"
"1360.3599326730182","-2093.8829244381177"
"1370.3626857715776","-2093.9270951375547"
"1380.3654404171841","-2094.6542160209024"
"1390.36819661064","-2095.889384093885"
"1400.3709543503792","-2097.8082512746937"
"1410.3737136367151","-2099.5587730238394"
"1420.3764744693435","-2101.590134834081"
"1430.3792368497739","-2103.8340923074365"
"1440.3820007754398","-2106.6433380448334"
"1441.028707459229","-2106.9117754336025"
"1441.028707459229","-2106.9117754336025"
"1450.9817624540512","-2103.823382750808"
"1460.9348114102058","-2101.4370491778113"
"1470.8878543304102","-2099.4738593055954"
"1480.8408912118223","-2097.4736269617674"
"1490.7939220574262","-2095.344251941532"
"1500.7469468641373","-2092.9491602335643"
"1510.6999656349944","-2090.9930846706"
"1520.6529783671178","-2089.0703554650877"
"1530.605985060581","-2086.742972246749"
"1540.5589857148705","-2084.249865492656"
"1550.511980330596","-2081.566785803734"
"1560.4649689079993","-2078.7955424161146"
"1570.4179514460482","-2076.4569880313757"
"1580.370927948457","-2073.127519038606"
"1590.3238984035588","-2070.632214255994"
"1600.2768628227425","-2068.168540191965"
"1610.2298212058333","-2066.49116485169"
"1620.182773544573","-2064.979736893122"
"1630.135719844622","-2063.352826045486"
"1640.0886601085997","-2061.5347618497685"
"1650.0415943282226","-2059.8409190070056"
